phrase,count
highly recommend,1792
place stay,1489
definitely stay,1476
great stay,953
great place,919
great location,865
enjoyed stay,845
clean comfortable,793
walking distance,674
place clean,613
definitely recommend,609
great host,552
wonderful stay,533
right home,520
bed comfortable,510
felt like,472
really enjoyed,465
exactly described,457
place perfect,455
recommend place,450
great place stay,425
location perfect,421
host responsive,411
felt safe,410
like home,407
place great,404
loved stay,395
quiet neighborhood,393
ve stayed,386
easy access,375
recommend staying,375
perfect place,340
super clean,333
location great,326
felt right,324
felt right home,321
stay highly,320
comfortable bed,309
away home,307
hot tub,305
stay highly recommend,292
quick respond,286
living room,281
perfect location,276
absolutely stay,275
comfortable stay,275
home away,275
time staying,273
home away home,272
absolutely loved,268
house clean,264
nice place,262
clean cozy,261
really enjoyed stay,254
clear instructions,251
make sure,247
quiet peaceful,246
beds comfortable,242
responsive helpful,238
street parking,237
check check,232
highly recommended,229
stay definitely,229
second time,226
space clean,226
super comfortable,225
close downtown,224
feel like,223
neighborhood quiet,223
stay place,220
great time,217
easy check,216
great experience,216
home clean,216
stay time,214
great restaurants,210
beautifully decorated,207
wonderful host,205
friendly responsive,201
felt like home,200
definitely book,199
super responsive,199
washer dryer,199
look forward,198
location close,197
overall great,197
love stay,193
really appreciated,193
clean quiet,191
really nice,190
super easy,190
highly recommend staying,189
place exactly,189
night stay,188
comfortable clean,186
stay great,186
loved staying,184
recommend stay,184
highly recommend place,181
just like,181
comfy bed,177
santa fe,177
beautiful home,174
stay area,174
lovely stay,172
ll definitely,168
minute walk,168
kitchen stocked,167
room clean,167
amazing host,166
perfect stay,166
stay thank,166
exactly needed,165
shops restaurants,164
easy walk,163
short walk,163
feel right,162
air bnb,160
feel right home,160
stay comfortable,160
stay recommend,160
coffee shops,159
perfect spot,159
short stay,159
check easy,158
short drive,158
cozy comfortable,157
definitely come,156
nice quiet,156
amazing stay,154
place just,154
responsive host,153
comfortable place,151
nice clean,151
conveniently located,149
bed super,148
host friendly,147
place nice,147
responsive friendly,147
just needed,146
feel home,145
friendly helpful,145
responsive questions,144
great spot,143
beautiful place,142
super friendly,142
comfortable beds,141
location convenient,141
just described,140
stayed night,140
easy communicate,138
house perfect,138
needed stay,138
wonderful place,138
second time staying,137
place beautiful,136
convenient location,134
thoughtful touches,134
long day,133
absolutely perfect,132
cozy clean,132
stay location,132
apartment clean,131
hosts responsive,131
water pressure,131
bed comfy,129
plenty space,129
good location,128
recommend looking,128
minute drive,127
safe neighborhood,127
stay future,127
clean spacious,126
extremely clean,126
extremely comfortable,126
great communication,124
local recommendations,123
loved place,123
place spotless,123
plenty room,123
needed place,121
thoroughly enjoyed,121
instructions clear,120
minutes away,120
place amazing,120
best airbnb,119
home beautiful,119
clean needed,118
hope stay,118
like pictures,118
place clean comfortable,118
stay home,118
stocked kitchen,118
extremely responsive,117
place super,117
restaurants shops,117
exceeded expectations,116
felt comfortable,116
needed comfortable,116
nice neighborhood,116
