word,count
clean,6197
comfortable,5451
home,5193
location,4546
perfect,4079
host,4056
definitely,3886
recommend,3723
house,3665
easy,3320
needed,3103
quiet,3013
space,2984
area,2804
beautiful,2782
room,2726
responsive,2674
loved,2661
close,2453
super,2335
cozy,2326
bed,2272
felt,2226
check,2190
neighborhood,2146
highly,2125
wonderful,2089
enjoyed,2055
kitchen,1940
friendly,1855
night,1774
restaurants,1759
amazing,1684
airbnb,1676
right,1616
peaceful,1602
helpful,1599
need,1563
hosts,1553
absolutely,1536
thank,1528
lovely,1479
downtown,1467
family,1411
walk,1396
apartment,1391
away,1382
bathroom,1365
coffee,1354
parking,1305
private,1267
feel,1255
safe,1238
experience,1210
amenities,1177
visit,1140
walking,1127
day,1114
exactly,1110
trip,1091
come,1090
overall,1085
spot,1085
town,1075
kind,1047
love,1033
spacious,1033
appreciated,1010
convenient,1008
didn,1002
quick,992
cute,977
street,972
make,947
best,945
described,944
instructions,940
extremely,935
property,921
welcoming,918
provided,915
looking,884
short,876
lots,872
plenty,870
comfy,869
able,861
things,860
excellent,843
small,835
sure,835
shower,827
beds,827
clear,824
did,823
stocked,806
distance,804
book,781
communication,770
access,767
weekend,764
drive,750
located,749
park,735
thanks,733
walkable,730
visiting,721
water,720
work,710
fantastic,708
city,705
available,697
unit,685
long,683
truly,677
decorated,675
accommodating,670
hot,669
better,668
questions,667
lot,662
door,653
local,651
use,647
having,644
minutes,637
way,635
places,631
outside,627
spotless,620
thoughtful,612
morning,606
warm,605
relaxing,604
dog,596
people,595
went,592
especially,582
want,573
return,569
incredibly,569
extra,568
bedroom,565
recommendations,559
nearby,558
minute,556
shops,551
enjoy,551
view,549
couple,546
days,540
got,536
needs,532
future,531
beach,522
touches,520
bit,509
hotel,506
second,504
living,497
guests,496
arrived,496
inside,491
towels,487
sleep,476
early,474
price,472
cottage,471
left,470
thought,469
food,465
beautifully,463
near,460
husband,460
gave,459
making,458
look,457
equipped,455
awesome,453
fun,450
yard,448
big,445
car,439
times,439
came,435
old,434
noise,432
far,429
getaway,429
hope,425
nights,425
wanted,423
plus,423
don,421
issue,419
quickly,419
relax,418
pool,418
large,416
decor,416
