phrase,count
highly recommend,2134
san diego,1671
great place,1649
great time,1382
pinball machines,1319
gift shop,1191
year old,997
old town,940
tour guide,930
parking lot,874
worth visit,801
really enjoyed,751
make sure,746
place visit,745
uss midway,681
hall fame,679
staff friendly,676
great experience,666
spent hours,590
definitely worth,566
way spend,555
flight deck,537
definitely recommend,533
nice place,529
guided tour,527
great way,524
pinball hall,518
pinball hall fame,510
years ago,503
fun spot,502
friendly helpful,480
couple hours,472
audio tour,449
spend hours,441
aircraft carrier,440
free parking,434
visitor center,433
lot fun,431
las vegas,426
video games,425
highly recommended,420
good time,419
arcade games,410
self guided,402
great views,396
felt like,372
feel like,361
spend time,356
customer service,354
fun place,352
really nice,345
don miss,340
friendly staff,335
cruise ship,334
ve seen,332
worth time,323
knoxville zoo,307
really good,304
state park,302
place spend,301
spend day,296
great fun,295
ice cream,294
time visit,293
don know,286
family friendly,281
good place,281
great job,277
really cool,276
lots fun,273
didn know,268
glad did,268
worth stop,264
thoroughly enjoyed,262
answer questions,257
really fun,254
worth trip,252
fun time,247
pinball games,242
midway museum,240
looks like,234
great tour,224
little bit,224
long time,224
short walk,224
place great,222
reasonably priced,221
enjoyed visit,220
great way spend,220
self guided tour,219
walking distance,218
looking forward,217
place walk,217
fun family,215
love place,215
amazing experience,213
art museum,212
beautiful place,210
great view,210
play area,210
recommend tour,210
friendly knowledgeable,209
great day,206
learned lot,204
nice little,203
looked like,202
place kids,202
beautiful views,201
great place visit,198
years old,198
kids loved,196
wonderful experience,196
atlantic city,195
great food,195
recommend visiting,193
buy tickets,191
great museum,190
kids adults,190
super friendly,190
took time,190
don think,189
parking free,189
tour guides,189
worth money,189
really great,188
national park,186
staff friendly helpful,184
good food,183
plenty parking,183
did great,182
great family,182
old school,182
rainy day,181
half day,180
shops restaurants,180
th century,180
playing pinball,179
uss midway museum,178
live music,175
small museum,173
cool place,172
hidden gem,171
pretty cool,171
spent hour,171
splash pad,171
time year,171
pretty good,170
tickets online,170
spend hour,169
day trip,168
spent time,168
food options,166
recommend visit,166
san francisco,166
wonderful place,166
staff helpful,165
family fun,164
pinball machine,163
young children,162
amazing time,161
places eat,161
don want,160
wonderful time,160
old pinball,159
waste time,159
wide variety,159
recommend going,156
worth price,156
food drinks,155
fun watch,155
second time,155
worth visiting,155
absolutely loved,154
easy walk,153
fun experience,153
kids love,153
look forward,153
museum great,153
time money,153
pleasantly surprised,152
history area,151
little ones,150
look like,150
street parking,150
walking tour,150
wine tasting,150
history museum,149
new york,149
picnic tables,149
easily spend,148
water park,148
local history,147
escape room,146
overall great,146
second floor,146
town san,146
did great job,145
spend afternoon,145
entrance fee,144
learn history,144
