phrase,count
highly recommend,2134
food good,2078
great food,1696
great service,1494
food service,1451
food great,1362
good food,1324
service good,1217
service great,1144
food delicious,1106
good service,1086
staff friendly,1067
really good,1047
service excellent,952
food excellent,951
dining experience,883
excellent service,853
wait staff,774
service food,755
great place,744
ice cream,741
excellent food,727
friendly staff,659
food amazing,578
long time,570
great experience,552
friendly service,539
customer service,536
quality food,526
delicious food,520
service friendly,515
great atmosphere,512
highly recommended,511
wine list,503
friendly attentive,489
definitely recommend,482
gluten free,468
happy hour,455
mashed potatoes,454
really enjoyed,453
fish chips,447
mac cheese,446
dining room,437
prime rib,434
make sure,432
cooked perfection,429
friendly helpful,424
amazing food,419
absolutely delicious,400
just right,400
recommend place,382
years ago,382
pretty good,381
food drinks,374
did disappoint,370
definitely return,369
food came,365
looking forward,365
reasonably priced,361
recommend restaurant,360
tasted like,359
prices reasonable,358
best ve,354
place eat,354
fried chicken,353
fine dining,348
perfectly cooked,343
cooked perfectly,339
felt like,334
caesar salad,332
food great service,329
sat bar,327
super friendly,327
great meal,322
right away,322
mexican food,321
don know,315
main course,314
feel like,312
food just,310
eau claire,307
medium rare,304
french toast,303
outdoor seating,303
looked like,294
staff great,290
decided try,287
new york,286
crab cakes,284
atmosphere great,280
just ok,280
pulled pork,280
saturday night,279
food really,278
good place,275
place great,274
ve eaten,274
food good service,272
parking lot,272
delicious service,262
definitely come,260
love place,260
really nice,258
baked potato,257
friendly food,256
glad did,256
santa barbara,255
minutes later,250
nice atmosphere,250
second time,250
waited minutes,250
special occasion,249
staff attentive,249
great time,248
crab cake,247
restaurant food,247
food outstanding,244
friendly efficient,244
food fantastic,243
nice place,242
husband ordered,240
amazing service,239
food quality,239
good great,238
fried rice,237
great food great,237
service attentive,237
look forward,236
high quality,235
reasonable prices,235
lunch dinner,233
menu items,233
great location,231
italian food,231
filet mignon,227
great staff,227
service good food,227
food fresh,225
friday night,225
italian restaurant,222
service outstanding,222
bar area,221
service slow,219
chips salsa,218
salad bar,217
worth visit,217
service fast,216
pork chop,215
quite good,215
sweet potato,215
good experience,214
onion rings,213
food ok,212
definitely worth,211
food served,208
shrimp grits,208
attentive friendly,207
clam chowder,207
live music,206
sea bass,206
wonderful experience,206
restaurant great,205
pad thai,204
service great food,204
took minutes,203
wife ordered,203
good time,202
old fashioned,202
french fries,200
great spot,199
stopped lunch,199
best meal,198
green beans,198
onion soup,198
food atmosphere,197
bread pudding,195
experience food,195
didn want,193
food absolutely,193
just good,193
large portions,193
enjoyed food,191
great job,191
make reservation,191
food average,190
food excellent service,190
server friendly,190
chicken sandwich,189
start finish,189
credit card,188
good value,187
hash browns,187
service quick,186
service atmosphere,185
chicken salad,184
place packed,184
year old,184
place food,182
pleasantly surprised,181
attentive service,180
